Year,Births
1950,365303
1951,372040
1952,378290
1953,384933
1954,390412
1955,397156
1956,404134
1957,410977
1958,418266
1959,425334
1960,434057
1961,443319
1962,453468
1963,464225
1964,475452
1965,486406
1966,498801
1967,511245
1968,524167
1969,537318
1970,549695
1971,564040
1972,577071
1973,591855
1974,607606
1975,621494
1976,635188
1977,648307
1978,660606
1979,671213
1980,660892
1981,614273
1982,520603
1983,503887
1984,506571
1985,536861
1986,541017
1987,535214
1988,531795
1989,546142
1990,567256
1991,555610
1992,578891
1993,698469
1994,789282
1995,853355
1996,886917
1997,914412
1998,940233
1999,967977
2000,995813
2001,969246
2002,980458
2003,1063246
2004,1097160
2005,1099366
2006,1136774
2007,1156957
2008,1091824
2009,1128666
2010,1147643
2011,1157518
2012,1217396
2013,1248455
2014,1274665
2015,1315633
2016,1315746
2017,1332116
2018,1355895
2019,1377704
2020,1402265
2021,1440941
1950,10949117
1951,11200481
1952,11448324
1953,11708347
1954,11941297
1955,12190188
1956,12452733
1957,12716803
1958,12982382
1959,13243850
1960,13537719
1961,13863632
1962,14204590
1963,14531456
1964,14863738
1965,15201638
1966,15559453
1967,15920240
1968,16291829
1969,16689225
1970,17086274
1971,17528004
1972,17938848
1973,18341064
1974,18817424
1975,19323948
1976,19818048
1977,20339630
1978,20860824
1979,21447524
1980,21983902
1981,22490282
1982,23060010
1983,23656130
1984,24152568
1985,24672864
1986,25161214
1987,25632090
1988,26012738
1989,26405366
1990,26758178
1991,27202084
1992,27648706
1993,28062924
1994,28448878
1995,28952992
1996,29394952
1997,29763972
1998,30211690
1999,30849084
2000,31447740
2001,32119226
2002,32749884
2003,33422308
2004,34129684
2005,34950130
2006,35734932
2007,36540190
2008,37411100
2009,38121708
2010,38920416
2011,39651460
2012,40261504
2013,40881660
2014,41516550
2015,42127970
2016,42514800
2017,43102420
2018,43713388
2019,44294736
2020,44807256
2021,45368652
1950,47332
1951,49465
1952,51661
1953,54845
1954,57446
1955,59836
1956,62006
1957,64021
1958,66520
1959,68618
1960,69920
1961,71003
1962,71358
1963,71714
1964,71467
1965,70784
1966,70876
1967,72042
1968,73348
1969,74528
1970,74660
1971,75697
1972,76526
1973,77243
1974,78232
1975,79402
1976,79622
1977,79320
1978,79045
1979,78650
1980,78856
1981,79919
1982,81698
1983,82768
1984,83674
1985,83757
1986,83580
1987,83626
1988,83285
1989,82170
1990,81074
1991,78981
1992,77134
1993,74839
1994,73972
1995,72325
1996,69325
1997,65082
1998,61371
1999,58257
2000,54861
2001,51320
2002,47945
2003,45781
2004,43180
2005,40463
2006,37946
2007,36175
2008,35256
2009,34903
2010,34904
2011,35059
2012,35489
2013,35555
2014,35130
2015,33845
2016,32584
2017,31350
2018,30304
2019,29773
2020,29535
2021,29289
1950,461136
1951,469830
1952,478552
1953,488125
1954,498349
1955,508773
1956,518567
1957,528125
1958,539120
1959,546852
1960,556593
1961,566892
1962,575592
1963,584085
1964,591356
1965,597239
1966,601499
1967,611674
1968,622074
1969,634723
1970,646620
1971,657259
1972,667335
1973,678912
1974,692679
1975,706415
1976,733257
1977,759183
1978,774051
1979,792448
1980,818564
1981,833209
1982,844354
1983,848863
1984,851776
1985,855569
1986,842218
1987,831447
1988,816682
1989,806312
1990,785136
1991,785188
1992,789852
1993,777950
1994,760489
1995,704968
1996,659025
1997,623072
1998,598945
1999,597324
2000,601641
2001,606613
2002,614591
2003,640386
2004,668185
2005,698990
2006,730551
2007,770485
2008,810140
2009,847255
2010,877676
2011,907559
2012,946579
2013,959572
2014,985393
2015,1005272
2016,1015743
2017,1018808
2018,1009713
2019,995239
2020,974703
2021,950888
1950,836
1951,859
1952,857
1953,849
1954,844
1955,843
1956,844
1957,853
1958,860
1959,856
1960,838
1961,857
1962,890
1963,921
1964,951
1965,975
1966,992
1967,1002
1968,1010
1969,1018
1970,1021
1971,1025
1972,1020
1973,1024
1974,1032
1975,1038
1976,1043
1977,1053
1978,1068
1979,1088
1980,1111
1981,1149
1982,1191
1983,1233
1984,1295
1985,1360
1986,1426
1987,1495
1988,1576
1989,1671
1990,1755
1991,1814
1992,1838
1993,1862
1994,1828
1995,1771
1996,1724
1997,1697
1998,1696
1999,1700
2000,1700
2001,1680
2002,1657
2003,1638
2004,1614
2005,1562
2006,1486
2007,1409
2008,1352
2009,1302
2010,1252
2011,1208
2012,1163
2013,1114
2014,1070
2015,1030
2016,984
2017,932
2018,879
2019,835
2020,809
2021,788
1950,96
1951,102
1952,91
1953,84
1954,82
1955,95
1956,109
1957,125
1958,142
1959,162
1960,181
1961,202
1962,222
1963,243
1964,266
1965,288
1966,311
1967,331
1968,350
1969,373
1970,397
1971,425
1972,459
1973,488
1974,516
1975,535
1976,492
1977,482
1978,467
1979,455
1980,593
1981,577
1982,655
1983,594
1984,495
1985,541
1986,573
1987,555
1988,603
1989,629
1990,602
1991,655
1992,702
1993,683
1994,680
1995,692
1996,730
1997,756
