Year,Deaths
1950,283668
1951,282577
1952,280803
1953,279684
1954,280476
1955,277695
1956,277328
1957,276560
1958,275681
1959,274920
1960,275239
1961,275508
1962,276593
1963,277961
1964,279368
1965,281003
1966,282463
1967,284203
1968,285867
1969,287557
1970,288979
1971,290646
1972,291819
1973,292915
1974,294363
1975,295301
1976,295770
1977,295112
1978,310376
1979,328042
1980,316937
1981,288555
1982,266040
1983,252318
1984,302824
1985,314987
1986,252810
1987,245107
1988,208051
1989,203321
1990,203514
1991,192531
1992,191913
1993,199165
1994,222214
1995,230943
1996,232991
1997,237216
1998,250677
1999,239604
2000,242535
2001,231795
2002,229450
2003,240215
2004,243367
2005,241454
2006,246037
2007,246898
2008,232339
2009,234065
2010,233308
2011,230346
2012,234629
2013,235744
2014,241055
2015,248560
2016,245452
2017,250677
2018,256314
2019,256564
2020,276683
2021,295236
1950,6062986
1951,6132451
1952,6154863
1953,6188063
1954,6233523
1955,6257619
1956,6311850
1957,6490080
1958,6555509
1959,6458970
1960,6552895
1961,6612369
1962,6669906
1963,6723633
1964,6773391
1965,6887077
1966,7054363
1967,7156392
1968,7210043
1969,7328002
1970,7384342
1971,7423189
1972,7572144
1973,7547254
1974,7657616
1975,7723873
1976,7709523
1977,7763576
1978,7841359
1979,7901076
1980,7986043
1981,8055264
1982,8146474
1983,8632791
1984,8773801
1985,8849905
1986,8891338
1987,8943504
1988,9359657
1989,9072295
1990,9278030
1991,9556209
1992,9850229
1993,9906520
1994,10475652
1995,10080149
1996,10281946
1997,10413205
1998,10805981
1999,10633379
2000,10614270
2001,10727599
2002,10799192
2003,10848609
2004,10875616
2005,10866028
2006,10806686
2007,10784102
2008,10769381
2009,10679182
2010,10652256
2011,10594121
2012,10561944
2013,10569044
2014,10589947
2015,10646590
2016,10651816
2017,10694839
2018,10763424
2019,10840634
2020,11390416
2021,12038022
1950,27895
1951,28739
1952,29094
1953,29792
1954,30025
1955,30230
1956,30218
1957,29952
1958,29487
1959,29048
1960,28400
1961,27702
1962,27060
1963,26164
1964,25217
1965,24313
1966,23510
1967,22821
1968,22175
1969,21524
1970,20896
1971,20405
1972,19899
1973,19482
1974,19151
1975,18898
1976,18814
1977,18620
1978,18693
1979,18633
1980,17822
1981,17909
1982,17985
1983,18082
1984,18254
1985,18453
1986,18467
1987,18319
1988,18315
1989,18357
1990,18349
1991,18361
1992,18215
1993,18251
1994,18357
1995,18402
1996,18404
1997,19461
1998,18487
1999,18571
2000,18628
2001,18695
2002,18767
2003,18903
2004,19095
2005,19280
2006,19600
2007,18935
2008,19517
2009,20073
2010,20583
2011,21084
2012,21980
2013,22641
2014,22748
2015,22954
2016,23192
2017,23507
2018,23939
2019,24410
2020,30970
2021,32392
1950,205790
1951,213647
1952,216194
1953,221114
1954,245452
1955,249176
1956,254614
1957,259305
1958,263467
1959,266990
1960,271718
1961,276517
1962,296145
1963,271829
1964,280047
1965,287369
